"{'250820', '397540'} | support: 45"
"{'570', '397540'} | support: 46"
"{'431960', '397540'} | support: 46"
"{'397540', '1172470'} | support: 55"
"{'397540', '730'} | support: 59"
"{'548430', '397540'} | support: 66"
"{'1151340', '431960'} | support: 35"
"{'1151340', '271590'} | support: 36"
"{'1151340', '570'} | support: 39"
"{'1151340', '1063730'} | support: 39"
"{'1151340', '1172470'} | support: 40"
"{'1151340', '230410'} | support: 41"
"{'1151340', '739630'} | support: 44"
"{'1151340', '1085660'} | support: 44"
"{'1151340', '730'} | support: 45"
"{'1151340', '489830'} | support: 48"
"{'1151340', '250820'} | support: 50"
"{'1151340', '548430'} | support: 54"
"{'1151340', '377160'} | support: 60"
"{'1517290', '570'} | support: 34"
"{'924970', '1517290'} | support: 35"
"{'1517290', '739630'} | support: 38"
"{'1517290', '548430'} | support: 40"
"{'1085660', '1517290'} | support: 43"
"{'1517290', '1551360'} | support: 45"
"{'252950', '1517290'} | support: 45"
"{'250820', '1517290'} | support: 53"
"{'431960', '1517290'} | support: 78"
"{'1517290', '1172470'} | support: 80"
"{'1517290', '1063730'} | support: 89"
"{'1517290', '730'} | support: 92"
"{'431960', '244210'} | support: 32"
"{'244210', '1551360'} | support: 32"
"{'244210', '271590'} | support: 41"
"{'252950', '244210'} | support: 52"
"{'244210', '227300'} | support: 76"
"{'250820', '244210'} | support: 97"
"{'244210', '730'} | support: 133"
"{'1085660', '782330'} | support: 32"
"{'782330', '381210'} | support: 35"
"{'782330', '489830'} | support: 36"
"{'782330', '440'} | support: 36"
"{'782330', '570'} | support: 37"
"{'782330', '739630'} | support: 51"
"{'782330', '431960'} | support: 51"
"{'782330', '1172470'} | support: 55"
"{'782330', '548430'} | support: 55"
"{'250820', '782330'} | support: 68"
"{'782330', '730'} | support: 69"
"{'782330', '976730'} | support: 72"
"{'232090', '632360'} | support: 32"
"{'232090', '1063730'} | support: 34"
"{'232090', '230410'} | support: 34"
"{'232090', '594650'} | support: 36"
"{'232090', '218620'} | support: 40"
"{'232090', '570'} | support: 45"
"{'232090', '431960'} | support: 51"
"{'232090', '550'} | support: 52"
"{'232090', '381210'} | support: 57"
"{'232090', '1172470'} | support: 58"
"{'232090', '250820'} | support: 59"
"{'232090', '440'} | support: 59"
"{'232090', '739630'} | support: 66"
"{'232090', '548430'} | support: 86"
"{'232090', '730'} | support: 101"
"{'221100', '686810'} | support: 34"
"{'976730', '686810'} | support: 35"
"{'594650', '686810'} | support: 37"
"{'250820', '686810'} | support: 37"
"{'252950', '686810'} | support: 39"
"{'686810', '261550'} | support: 39"
"{'431960', '686810'} | support: 43"
"{'394360', '686810'} | support: 44"
"{'686810', '581320'} | support: 46"
"{'107410', '686810'} | support: 46"
"{'548430', '686810'} | support: 47"
"{'739630', '686810'} | support: 52"
"{'686810', '1063730'} | support: 52"
"{'393380', '686810'} | support: 76"
"{'686810', '236390'} | support: 79"
"{'686810', '730'} | support: 83"
"{'1092790', '730'} | support: 32"
"{'1092790', '286160'} | support: 34"
"{'1092790', '646570'} | support: 36"
"{'1092790', '1063730'} | support: 40"
"{'1092790', '1172470'} | support: 41"
"{'1092790', '381210'} | support: 43"
"{'1092790', '739630'} | support: 60"
"{'1092790', '250900'} | support: 64"
"{'1092790', '548430'} | support: 70"
"{'250820', '1092790'} | support: 73"
"{'393380', '1172470'} | support: 32"
"{'393380', '261550'} | support: 33"
"{'393380', '594650'} | support: 33"
"{'393380', '431960'} | support: 39"
"{'359550', '393380'} | support: 41"
"{'393380', '252950'} | support: 44"
"{'394360', '393380'} | support: 45"
"{'393380', '221100'} | support: 47"
"{'393380', '570'} | support: 49"
"{'393380', '739630'} | support: 50"
"{'393380', '250820'} | support: 53"
"{'393380', '1063730'} | support: 56"
"{'393380', '581320'} | support: 61"
"{'393380', '107410'} | support: 89"
"{'393380', '236390'} | support: 101"
"{'393380', '730'} | support: 122"
"{'281990', '602960'} | support: 32"
"{'602960', '1063730'} | support: 34"
"{'602960', '4000'} | support: 34"
"{'602960', '976730'} | support: 35"
"{'602960', '230410'} | support: 38"
"{'394360', '602960'} | support: 41"
"{'602960', '286160'} | support: 43"
"{'294100', '602960'} | support: 43"
"{'602960', '431960'} | support: 45"
"{'602960', '381210'} | support: 46"
"{'107410', '602960'} | support: 48"
"{'602960', '594650'} | support: 48"
"{'602960', '236390'} | support: 56"
"{'602960', '1172470'} | support: 57"
"{'602960', '570'} | support: 65"
"{'250820', '602960'} | support: 70"
"{'602960', '730'} | support: 71"
"{'602960', '739630'} | support: 96"
"{'602960', '548430'} | support: 137"
"{'739630', '813780'} | support: 34"
"{'570', '813780'} | support: 39"
"{'1063730', '813780'} | support: 45"
"{'1466860', '813780'} | support: 74"
"{'730', '813780'} | support: 122"
"{'250820', '480'} | support: 32"
"{'252950', '480'} | support: 36"
"{'4000', '480'} | support: 40"
"{'359550', '480'} | support: 40"
"{'431960', '480'} | support: 44"
"{'1172470', '480'} | support: 52"
"{'739630', '480'} | support: 65"
"{'570', '480'} | support: 121"
"{'570', '730', '480'} | support: 35"
"{'730', '480'} | support: 178"
"{'250820', '270880'} | support: 40"
"{'730', '270880'} | support: 49"
"{'271590', '270880'} | support: 59"
"{'227300', '270880'} | support: 270"
"{'306130', '1172470'} | support: 32"
"{'739630', '306130'} | support: 34"
"{'377160', '306130'} | support: 36"
"{'230410', '306130'} | support: 41"
"{'1085660', '306130'} | support: 44"
"{'570', '306130'} | support: 50"
"{'306130', '1063730'} | support: 58"
"{'306130', '730'} | support: 66"
"{'489830', '306130'} | support: 78"
"{'960090', '8930'} | support: 33"
"{'489830', '8930'} | support: 34"
"{'739630', '8930'} | support: 36"
"{'250820', '8930'} | support: 38"
"{'440', '8930'} | support: 38"
"{'252950', '8930'} | support: 41"
"{'394360', '8930'} | support: 43"
"{'570', '8930'} | support: 55"
"{'289070', '8930'} | support: 80"
"{'730', '8930'} | support: 108"
"{'250820', '322330'} | support: 32"
"{'960090', '322330'} | support: 36"
"{'431960', '322330'} | support: 37"
"{'322330', '1063730'} | support: 40"
"{'230410', '322330'} | support: 41"
"{'322330', '1172470'} | support: 45"
"{'322330', '250900'} | support: 51"
"{'105600', '322330'} | support: 54"
